"","UpstreamRegulator","X","Group","Tissue","pval","padj","ES","NES","nMoreExtreme","size"
"460","IL13",4,"LTAL_vs_LTDR","Brain",0.00283880523327573,0.00283880523327573,-0.399302157166104,-1.48413804199906,22,272
"461","IL13",5,"LTAL_vs_STDR","Brain",0.000447828034034931,0.000447828034034931,-0.358383604661857,-1.56038529192435,1,269
"462","IL13",6,"Young_vs_LTAL","Brain",0.00123609394313968,0.00123609394313968,0.390997091797337,1.61184134519382,0,275
"463","IL13",7,"LTAL_vs_LTDR","Heart",0.00664767331433998,0.00664767331433998,-0.292312616619307,-1.32236751444854,6,298
"464","IL13",8,"LTAL_vs_STDR","Heart",0.00987627523334057,0.00987627523334057,-0.379779801702584,-1.41368313994153,90,290
"465","IL13",9,"Young_vs_LTAL","Heart",0.740335375037654,0.740335375037654,0.362419307379554,0.886461672869213,7372,292
"466","IL13",10,"LTAL_vs_LTDR","Kidney",0.00012482836100362,0.00012482836100362,-0.445052717289795,-1.65167412475946,0,298
"467","IL13",11,"LTAL_vs_STDR","Kidney",0.000464684014869888,0.000464684014869888,-0.397584625552779,-1.71341202932869,0,301
"468","IL13",12,"Young_vs_LTAL","Kidney",0.000302571860816944,0.000302571860816944,0.433234018794177,1.57988331320937,1,302
"469","IL13",13,"LTAL_vs_LTDR","Liver",0.336361434108527,0.336361434108527,-0.265376872900478,-1.05825897204891,2776,257
"470","IL13",14,"LTAL_vs_STDR","Liver",0.303124033405506,0.303124033405506,-0.250682418647248,-1.05213245660201,979,255
"471","IL13",15,"Young_vs_LTAL","Liver",0.247158303299141,0.247158303299141,0.284291134388721,1.10228512251336,1782,249
"472","IL13",16,"LTAL_vs_LTDR","Lung",0.0313800832532821,0.0313800832532821,0.297056322056779,1.26095262433249,195,309
"473","IL13",17,"LTAL_vs_STDR","Lung",0.00341361653707567,0.00341361653707567,-0.363332341124231,-1.52348651155028,17,300
"474","IL13",18,"Young_vs_LTAL","Lung",0.003690036900369,0.003690036900369,0.296169869292737,1.34669491426464,8,309
"475","IL13",19,"LTAL_vs_LTDR","Muscle",0.142073243468925,0.142073243468925,-0.32938327449916,-1.18783694001089,1190,285
"476","IL13",20,"LTAL_vs_STDR","Muscle",0.0336763330215154,0.0336763330215154,-0.359769350868741,-1.33453210761653,143,290
"477","IL13",21,"Young_vs_LTAL","Muscle",0.00247524752475248,0.00247524752475248,0.32680287203587,1.39623250600732,0,286
"478","IL13",22,"LTAL_vs_LTDR","Skin",0.0309372156505914,0.0309372156505914,-0.319665512011316,-1.27716670464735,101,295
"479","IL13",23,"LTAL_vs_STDR","Skin",1,1,-0.3286736700755,NA,0,298
"480","IL13",24,"Young_vs_LTAL","Skin",0.00850661625708885,0.00850661625708885,0.284788415145826,1.30444903448007,17,285
"481","IL17A",1,"LTAL_vs_LTDR","Blood",0.066397913208442,0.066397913208442,-0.33066549134539,-1.30482208802611,279,77
"482","IL17A",2,"LTAL_vs_STDR","Blood",0.0463533225283631,0.0463533225283631,0.371263006014587,1.36797166856417,285,83
"483","IL17A",3,"Young_vs_LTAL","Blood",0.314230712276025,0.314230712276025,-0.307413312327324,-1.08399406251932,2121,85
"484","IL17A",4,"LTAL_vs_LTDR","Brain",0.000285836787194512,0.000285836787194512,-0.549766577044806,-1.83758581556236,1,108
"485","IL17A",5,"LTAL_vs_STDR","Brain",0.0231660231660232,0.0231660231660232,-0.375415904135269,-1.43391766860464,107,105
"486","IL17A",6,"Young_vs_LTAL","Brain",0.000479156684235745,0.000479156684235745,0.561847102276604,2.0590331570243,0,105
"487","IL17A",7,"LTAL_vs_LTDR","Heart",0.000482392667631452,0.000482392667631452,-0.417294639194166,-1.69373738431142,0,121
"488","IL17A",8,"LTAL_vs_STDR","Heart",0.00135401280157558,0.00135401280157558,-0.507429092604189,-1.7234947877048,10,116
"489","IL17A",9,"Young_vs_LTAL","Heart",0.20614398014067,0.20614398014067,0.500648925178674,1.19583549470028,1992,118
"490","IL17A",10,"LTAL_vs_LTDR","Kidney",0.000138140627158447,0.000138140627158447,-0.578776067950622,-1.93419508774634,0,116
"491","IL17A",11,"LTAL_vs_STDR","Kidney",0.000324359390204346,0.000324359390204346,-0.526168299554711,-2.02890786630107,0,116
"492","IL17A",12,"Young_vs_LTAL","Kidney",0.000156372165754496,0.000156372165754496,0.675717743490737,2.18321315302732,0,115
"493","IL17A",13,"LTAL_vs_LTDR","Liver",0.00148428012413979,0.00148428012413979,-0.484742405602764,-1.71759089094355,10,98
"494","IL17A",14,"LTAL_vs_STDR","Liver",0.000741289844329133,0.000741289844329133,-0.483156434917749,-1.76221321185955,2,99
"495","IL17A",15,"Young_vs_LTAL","Liver",0.0049165673420739,0.0049165673420739,0.471087582415057,1.60555269143327,32,95
"496","IL17A",16,"LTAL_vs_LTDR","Lung",0.195189003436426,0.195189003436426,0.301440566496018,1.14445331010274,1135,122
"497","IL17A",17,"LTAL_vs_STDR","Lung",0.57479548110635,0.57479548110635,-0.249434804039853,-0.928474009740155,2950,120
"498","IL17A",18,"Young_vs_LTAL","Lung",0.0703561966440977,0.0703561966440977,0.314155323604256,1.26669267454339,238,122
"499","IL17A",19,"LTAL_vs_LTDR","Muscle",0.0723809523809524,0.0723809523809524,0.334690655680077,1.26706580820209,189,111
"500","IL17A",20,"LTAL_vs_STDR","Muscle",0.0303676078849227,0.0303676078849227,0.426350059973413,1.41390517395961,170,111
"501","IL17A",21,"Young_vs_LTAL","Muscle",0.0124753775443204,0.0124753775443204,0.382476734559586,1.44357005431678,18,105
"502","IL17A",22,"LTAL_vs_LTDR","Skin",0.32885686210285,0.32885686210285,0.319621979932186,1.06877524647058,2007,112
"503","IL17A",23,"LTAL_vs_STDR","Skin",0.202898550724638,0.202898550724638,-0.259920995669458,-1.08464383325366,13,114
"504","IL17A",24,"Young_vs_LTAL","Skin",0.0777408637873754,0.0777408637873754,0.308477574695825,1.24748758963249,233,107
"505","IL1B",1,"LTAL_vs_LTDR","Blood",0.0133217492035911,0.0133217492035911,-0.267936511793486,-1.29372373005727,45,324
"506","IL1B",2,"LTAL_vs_STDR","Blood",0.116425605040813,0.116425605040813,0.262808114010158,1.15782922954504,812,349
"507","IL1B",3,"Young_vs_LTAL","Blood",0.0564516129032258,0.0564516129032258,0.247027026309233,1.16491389961129,104,364
"508","IL1B",4,"LTAL_vs_LTDR","Brain",0.000117041198501873,0.000117041198501873,-0.406945204410776,-1.55883110836289,0,416
"509","IL1B",5,"LTAL_vs_STDR","Brain",0.000208637596494888,0.000208637596494888,-0.342305254420689,-1.54284900392342,0,419
"510","IL1B",6,"Young_vs_LTAL","Brain",0.0014903129657228,0.0014903129657228,0.513287429733592,2.16416742308638,0,432
"511","IL1B",7,"LTAL_vs_LTDR","Heart",0.00140449438202247,0.00140449438202247,-0.322247613910867,-1.50266739075331,0,448
"512","IL1B",8,"LTAL_vs_STDR","Heart",0.000207705888461938,0.000207705888461938,-0.396254264078427,-1.50222182501857,1,433
"513","IL1B",9,"Young_vs_LTAL","Heart",0.2475,0.2475,0.44896376187436,1.09966955442571,2474,441
"514","IL1B",10,"LTAL_vs_LTDR","Kidney",0.000229463056447912,0.000229463056447912,-0.392744954473168,-1.50051844029922,1,458
"515","IL1B",11,"LTAL_vs_STDR","Kidney",0.000488997555012225,0.000488997555012225,-0.424991457051716,-1.8819023292408,0,466
"516","IL1B",12,"Young_vs_LTAL","Kidney",0.00013430029546065,0.00013430029546065,0.568273720034416,2.09971798716306,0,462
"517","IL1B",13,"LTAL_vs_LTDR","Liver",0.00033288948069241,0.00033288948069241,-0.368251029168605,-1.50791840204248,2,397
"518","IL1B",14,"LTAL_vs_STDR","Liver",0.000311623558741041,0.000311623558741041,-0.386609474961719,-1.67911427274959,0,404
"519","IL1B",15,"Young_vs_LTAL","Liver",0.00012388503468781,0.00012388503468781,0.454225452345028,1.81306569445277,0,391
"520","IL1B",16,"LTAL_vs_LTDR","Lung",0.00051242633871381,0.00051242633871381,-0.316487788004109,-1.44415474627549,1,464
"521","IL1B",17,"LTAL_vs_STDR","Lung",0.237700486574158,0.237700486574158,-0.249911433026635,-1.08352160324494,1318,454
"522","IL1B",18,"Young_vs_LTAL","Lung",0.17418944691672,0.17418944691672,-0.260723945891467,-1.11702961290298,1369,457
"523","IL1B",19,"LTAL_vs_LTDR","Muscle",0.00796943231441048,0.00796943231441048,-0.383767844612815,-1.40337628525319,72,426
"524","IL1B",20,"LTAL_vs_STDR","Muscle",0.137300177619893,0.137300177619893,0.295379625016194,1.13390484283082,772,428
"525","IL1B",21,"Young_vs_LTAL","Muscle",0.0033112582781457,0.0033112582781457,0.499862404985842,2.18038053594447,0,430
"526","IL1B",22,"LTAL_vs_LTDR","Skin",0.158583416299246,0.158583416299246,0.29241539186985,1.13337141959495,1114,428
"527","IL1B",23,"LTAL_vs_STDR","Skin",1,1,-0.272193802607095,NA,0,445
"528","IL1B",24,"Young_vs_LTAL","Skin",0.0200471698113208,0.0200471698113208,0.255510251540811,1.20631387108241,33,417
"529","IL2",1,"LTAL_vs_LTDR","Blood",0.00556694989745092,0.00556694989745092,-0.279181398868042,-1.34632007070647,18,317
"530","IL2",2,"LTAL_vs_STDR","Blood",0.000702493853178785,0.000702493853178785,-0.312460072300008,-1.47277740312297,1,321
"531","IL2",3,"Young_vs_LTAL","Blood",0.0425531914893617,0.0425531914893617,0.253361704147107,1.19080198790882,75,333
"532","IL2",4,"LTAL_vs_LTDR","Brain",0.000241633442068382,0.000241633442068382,-0.40872954517351,-1.53420533539599,1,321
"533","IL2",5,"LTAL_vs_STDR","Brain",0.00264900662251656,0.00264900662251656,-0.326306749185402,-1.44930598063639,11,318
"534","IL2",6,"Young_vs_LTAL","Brain",0.00136239782016349,0.00136239782016349,0.424211718240519,1.76317307145539,0,317
"535","IL2",7,"LTAL_vs_LTDR","Heart",0.00119189511323004,0.00119189511323004,-0.299382809933611,-1.37809460308386,0,361
"536","IL2",8,"LTAL_vs_STDR","Heart",0.000106382978723404,0.000106382978723404,-0.447948360435813,-1.67498261319775,0,344
"537","IL2",9,"Young_vs_LTAL","Heart",0.912173652095629,0.912173652095629,0.325421207979365,0.78927236125522,9118,354
"538","IL2",10,"LTAL_vs_LTDR","Kidney",0.000120423892100193,0.000120423892100193,-0.470143959629623,-1.76938041752189,0,355
"539","IL2",11,"LTAL_vs_STDR","Kidney",0.000500250125062531,0.000500250125062531,-0.454151755681976,-1.982961367464,0,355
"540","IL2",12,"Young_vs_LTAL","Kidney",0.000150715900527506,0.000150715900527506,0.560747064506624,2.05585230695408,0,355
"541","IL2",13,"LTAL_vs_LTDR","Liver",0.0255730906577583,0.0255730906577583,-0.329476655555049,-1.32612868806475,221,309
"542","IL2",14,"LTAL_vs_STDR","Liver",0.00324569944823109,0.00324569944823109,-0.325254549838647,-1.38362270030356,9,309
